Description,1-Day Price Chg %,Market Cap,P/E,ROE %,Div. Yield %,Debt to Equity,Price to Book,Net Profit Margin (mrq),Price To Free Cash Flow (mrq)
Isagro,3.89,72.32M,10.872,4.587,NA,44.869,0.758,-0.762,-12.153
Isagro,2.26,52.60M,7.907,4.587,NA,44.869,0.552,-0.762,-8.838
Karnalyte Resources Inc,0,30.50M,NA,-5.444,NA,NA,0.282,NA,-31.849
Khaitan Chemicals,2.33,1.07B,21.154,NA,NA,170.278,0.854,-4.369,NA
Kilpest India Ltd,3.17,60.02M,NA,NA,NA,70.272,0.599,-5.405,NA
Kiwa Bio-Tech Products Group C,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberty Phosphate Ltd,NA,NA,NA,NA,NA,34.527,NA,2.328,NA
M P Agro Industries Ltd,NA,NA,NA,NA,NA,3.761,NA,NA,NA
Madras Fertilizers Ltd,NA,NA,NA,NA,NA,NA,NA,-11.781,NA
MagIndustries Corp,NA,NA,NA,-33.871,NA,109.1,NA,-298.187,NA
MagIndustries Corp,0,173.87M,NA,-33.871,NA,109.1,2.396,-298.187,-2.124
Mangalore Chemicals,-0.29,8.12B,11.11,NA,NA,239.31,1.278,-2.265,NA
Mangalore Chemicals,NA,NA,NA,NA,NA,239.31,NA,-2.265,NA
"Marrone Bio Innovations, Inc.",-2.54,140.29M,NA,-426.868,NA,38.688,2.156,-286.167,-12.19
MBAC Fertilizer Corp,8.7,45.40M,NA,-7.756,NA,106.05,0.189,NA,-7.922
Meghmani Organics Ltd,0,50.32M,9.091,8.743,NA,114.303,0.58,2.534,9.955
Meghmani Organics Ltd,-1.4,4.25B,12.439,8.743,NA,114.303,0.807,2.534,13.854
Meghmani Organics Ltd,-1.46,4.24B,12.417,8.743,NA,114.303,0.805,2.534,13.83
Migao Corp,NA,NA,NA,-17.653,NA,110.139,NA,0.751,NA
Migao Corp,0.72,73.49M,NA,-17.653,NA,110.139,0.268,0.751,2.366
Modipon Ltd,4.99,118.14M,4.687,NA,NA,NA,NA,NA,NA
Monsanto Co,NA,NA,NA,18.48,NA,21.623,NA,20.188,NA
Monsanto Co,0,797.91B,305.731,18.48,NA,21.623,54.399,20.188,-371.187
Monsanto Company,-0.1,60.67B,23.246,18.48,1.5,21.623,4.136,20.188,-28.223
Monsanto India Ltd,3.52,39.42B,28.637,NA,NA,NA,11.444,27.38,NA
Monsanto India Ltd,2.95,39.27B,28.528,NA,NA,NA,11.4,27.38,NA
Nagarjuna Agrichem Ltd.,1.47,2.04B,NA,-11.12,NA,111.225,1.172,-5.181,NA
Nagarjuna Agritech Ltd,0,40.29M,NA,NA,NA,NA,NA,-41.297,NA
National Fertilizers Ltd,2.6,16.48B,308.257,NA,NA,505.91,1.103,0.834,NA
National Fertilizers Ltd,2.76,16.46B,307.798,NA,NA,505.91,1.102,0.834,NA
New Oriental Energy & Chemical,0,0.17M,NA,-236.556,NA,1236.15,0.058,-262.494,0.009
Nufarm Ltd,-0.93,1.12B,14.426,5.823,NA,75.117,0.684,1.652,-699.342
Nufarm Ltd,NA,NA,NA,5.823,NA,75.117,NA,1.652,NA
Nutriplant Industria,NA,NA,NA,2.286,NA,85.621,NA,-1.827,NA
Ocean Agro (India) Ltd,NA,NA,NA,-1.888,NA,15.684,NA,1.68,NA
Olmix SA,0,14.57M,8.023,13.392,NA,280.065,1.001,0.541,-16.382
Phyto Chem (India) Ltd,-6.54,64.32M,10.49,NA,NA,184.845,0.867,-0.205,NA
"Potash Corp. of Saskatchewan,",-0.4,29.16B,21.771,14.514,4,46.284,3.259,27.22,85.318
Potash of Saskatchewan,-0.52,22.04B,16.458,14.514,NA,46.284,2.464,27.22,64.498
